model,prompt_id,closed_unique_firms,open_unique_firms,shared_firms,set_jaccard,closed_modal_top1,open_modal_top1,top1_same
openai/gpt-5.6-sol,discovery_climate_hardware,10,7,0,0.0,Breakthrough Energy Ventures,Treverge,0
openai/gpt-5.6-sol,discovery_consumer,10,6,2,0.1429,Forerunner Ventures,Everybody Ventures,0
openai/gpt-5.6-sol,discovery_dev_infra,11,6,1,0.0625,Heavybit,Heavybit,1
openai/gpt-5.6-sol,discovery_enterprise_ai,11,6,2,0.1333,Emergence Capital,Menlo Ventures,0
openai/gpt-5.6-sol,discovery_eu_biotech,6,7,2,0.1818,BioGeneration Ventures,BioGeneration Ventures,1
openai/gpt-5.6-sol,discovery_eu_defence,9,5,1,0.0769,NATO Innovation Fund,Archangel,0
openai/gpt-5.6-sol,discovery_eu_spinout,12,9,0,0.0,Parkwalk Advisors,U2V,0
openai/gpt-5.6-sol,discovery_fintech_infra,10,6,1,0.0667,Canapi Ventures,Caldo Ventures,0
openai/gpt-5.6-sol,discovery_preseed_technical,8,6,0,0.0,Afore Capital,Menlo Ventures,0
openai/gpt-5.6-sol,problem_board_meeting,6,5,1,0.1,Y Combinator,True Ventures,0
openai/gpt-5.6-sol,problem_default_alive,2,1,1,0.5,Y Combinator,Y Combinator,1
openai/gpt-5.6-sol,problem_enterprise_sales,8,3,2,0.2222,SaaStr Fund,Andreessen Horowitz,0
openai/gpt-5.6-sol,problem_first_ten_customers,8,3,0,0.0,Y Combinator,Uncork Capital,0
openai/gpt-5.6-sol,problem_founder_led_sales,8,5,0,0.0,Y Combinator,Euclid Ventures,0
openai/gpt-5.6-sol,problem_new_market_size,6,3,1,0.125,Y Combinator,Andreessen Horowitz,0
openai/gpt-5.6-sol,problem_product_market_fit,5,5,3,0.4286,First Round Capital,First Round Capital,1
openai/gpt-5.6-sol,problem_raise_or_profit,5,7,1,0.0909,Y Combinator,Y Combinator,1
openai/gpt-5.6-sol,problem_replace_executive,5,5,2,0.25,Andreessen Horowitz,Andreessen Horowitz,1
openai/gpt-5.6-sol,problem_should_raise_vc,9,6,1,0.0714,Y Combinator,Andreessen Horowitz (a16z speedrun),0
qwen/qwen3.8-max,discovery_capital_efficient_saas,12,6,0,0.0,Basecase Capital,Calm Company Fund,0
qwen/qwen3.8-max,discovery_climate_hardware,8,7,0,0.0,Breakthrough Energy Ventures,Extantia Capital,0
qwen/qwen3.8-max,discovery_consumer,10,8,2,0.125,Forerunner Ventures,Forerunner Ventures,1
qwen/qwen3.8-max,discovery_dev_infra,10,5,1,0.0714,Seedcamp,Heavybit,0
qwen/qwen3.8-max,discovery_enterprise_ai,10,7,1,0.0625,Bessemer Venture Partners,Salesforce Ventures,0
qwen/qwen3.8-max,discovery_eu_biotech,12,5,1,0.0625,Medicxi,BioGeneration Ventures,0
qwen/qwen3.8-max,discovery_eu_defence,10,5,0,0.0,NATO Innovation Fund,Archangel,0
qwen/qwen3.8-max,discovery_eu_spinout,11,7,0,0.0,Cambridge Innovation Capital,U2V,0
qwen/qwen3.8-max,discovery_fintech_infra,10,6,1,0.0667,Ribbit Capital,Caldo Ventures,0
qwen/qwen3.8-max,discovery_preseed_technical,10,9,0,0.0,Pre-Seed Ventures,Menlo Ventures,0
qwen/qwen3.8-max,problem_board_meeting,6,7,2,0.1818,Andreessen Horowitz,True Ventures,0
qwen/qwen3.8-max,problem_default_alive,3,2,2,0.6667,Y Combinator,Y Combinator,1
qwen/qwen3.8-max,problem_enterprise_sales,7,3,2,0.25,Bessemer Venture Partners,Andreessen Horowitz,0
qwen/qwen3.8-max,problem_first_ten_customers,4,4,1,0.1429,Y Combinator,Uncork Capital,0
qwen/qwen3.8-max,problem_founder_led_sales,7,5,0,0.0,Y Combinator,Euclid Ventures,0
qwen/qwen3.8-max,problem_new_market_size,6,4,1,0.1111,Sequoia Capital,Andreessen Horowitz,0
qwen/qwen3.8-max,problem_product_market_fit,6,6,4,0.5,Andreessen Horowitz,Sequoia Capital,0
qwen/qwen3.8-max,problem_raise_or_profit,9,6,2,0.1538,Y Combinator,Andreessen Horowitz,0
qwen/qwen3.8-max,problem_replace_executive,6,5,1,0.1,First Round Capital,Andreessen Horowitz,0
qwen/qwen3.8-max,problem_should_raise_vc,6,5,1,0.1,Y Combinator,Andreessen Horowitz,0
x-ai/grok-4.6,discovery_capital_efficient_saas,13,6,1,0.0556,Point Nine Capital,Calm Company Fund,0
x-ai/grok-4.6,discovery_climate_hardware,10,6,0,0.0,Breakthrough Energy Ventures,Treverge,0
x-ai/grok-4.6,discovery_consumer,13,7,3,0.1765,Forerunner Ventures,Forerunner Ventures,1
x-ai/grok-4.6,discovery_dev_infra,8,5,1,0.0833,Amplify Partners,Heavybit,0
x-ai/grok-4.6,discovery_enterprise_ai,7,6,1,0.0833,Andreessen Horowitz,Salesforce Ventures,0
x-ai/grok-4.6,discovery_eu_biotech,7,5,2,0.2,Sofinnova Partners,BioGeneration Ventures,0
x-ai/grok-4.6,discovery_eu_defence,11,6,0,0.0,NATO Innovation Fund,Archangel,0
x-ai/grok-4.6,discovery_eu_spinout,6,6,0,0.0,IP Group,U2V,0
x-ai/grok-4.6,discovery_fintech_infra,8,6,1,0.0769,Nyca Partners,Caldo Ventures,0
x-ai/grok-4.6,discovery_preseed_technical,12,7,0,0.0,Precursor Ventures,Menlo Ventures Inception Fund,0
x-ai/grok-4.6,problem_board_meeting,5,4,1,0.125,Union Square Ventures,True Ventures,0
x-ai/grok-4.6,problem_default_alive,1,2,1,0.5,Y Combinator,Y Combinator,1
x-ai/grok-4.6,problem_enterprise_sales,8,2,1,0.1111,SaaStr,Andreessen Horowitz,0
x-ai/grok-4.6,problem_first_ten_customers,2,2,1,0.3333,Y Combinator,Uncork Capital,0
x-ai/grok-4.6,problem_founder_led_sales,8,5,1,0.0833,Y Combinator,Euclid Ventures,0
x-ai/grok-4.6,problem_new_market_size,5,4,1,0.125,Founders Fund,Andreessen Horowitz,0
x-ai/grok-4.6,problem_product_market_fit,6,6,4,0.5,Andreessen Horowitz,Sequoia Capital,0
x-ai/grok-4.6,problem_raise_or_profit,4,6,1,0.1111,Y Combinator,SaaStr,0
x-ai/grok-4.6,problem_replace_executive,3,4,1,0.1667,Andreessen Horowitz,Andreessen Horowitz,1
x-ai/grok-4.6,problem_should_raise_vc,5,6,1,0.1,Y Combinator,Andreessen Horowitz,0
