condition,prompt_id,prompt_type,firm,response_inclusions,eligible_responses,mention_rate,models,top_rank_count,rank_within_prompt
closed_book,discovery_eu_defence,discovery,Project A Ventures,11,40,0.275,3,7,4
closed_book,discovery_eu_defence,discovery,OTB Ventures,9,40,0.225,3,0,5
closed_book,discovery_eu_spinout,discovery,Cambridge Innovation Capital,26,40,0.65,7,7,1
closed_book,discovery_eu_spinout,discovery,IP Group,23,40,0.575,5,15,2
closed_book,discovery_eu_spinout,discovery,Oxford Science Enterprises,18,40,0.45,5,1,3
closed_book,discovery_eu_spinout,discovery,Parkwalk Advisors,15,40,0.375,4,4,4
closed_book,discovery_eu_spinout,discovery,Amadeus Capital Partners,14,40,0.35,5,1,5
closed_book,discovery_fintech_infra,discovery,QED Investors,31,40,0.775,7,7,1
closed_book,discovery_fintech_infra,discovery,Ribbit Capital,30,40,0.75,7,14,2
closed_book,discovery_fintech_infra,discovery,Nyca Partners,24,40,0.6,6,4,3
closed_book,discovery_fintech_infra,discovery,Andreessen Horowitz,18,40,0.45,6,0,4
closed_book,discovery_fintech_infra,discovery,Bain Capital Ventures,13,40,0.325,3,0,5
closed_book,discovery_preseed_technical,discovery,Y Combinator,25,40,0.625,6,17,1
closed_book,discovery_preseed_technical,discovery,Precursor Ventures,23,40,0.575,7,6,2
closed_book,discovery_preseed_technical,discovery,First Round Capital,18,40,0.45,6,0,3
closed_book,discovery_preseed_technical,discovery,Hustle Fund,10,40,0.25,3,3,4
closed_book,discovery_preseed_technical,discovery,Unusual Ventures,9,40,0.225,4,0,5
open_book,discovery_capital_efficient_saas,discovery,Calm Company Fund,24,24,1.0,8,23,1
open_book,discovery_capital_efficient_saas,discovery,Flying Founders,24,24,1.0,8,0,2
open_book,discovery_capital_efficient_saas,discovery,Malpani Ventures,24,24,1.0,8,0,3
open_book,discovery_capital_efficient_saas,discovery,TinySeed,24,24,1.0,8,1,4
open_book,discovery_capital_efficient_saas,discovery,Mainsail Partners,11,24,0.4583,6,0,5
open_book,discovery_climate_hardware,discovery,KOMPAS VC,22,24,0.9167,8,0,1
open_book,discovery_climate_hardware,discovery,Treverge,22,24,0.9167,8,11,2
open_book,discovery_climate_hardware,discovery,Extantia Capital,20,24,0.8333,8,12,3
open_book,discovery_climate_hardware,discovery,SNØCAP,20,24,0.8333,8,1,4
open_book,discovery_climate_hardware,discovery,Ruya Ventures,17,24,0.7083,7,0,5
open_book,discovery_consumer,discovery,Mantis VC,20,24,0.8333,8,2,1
open_book,discovery_consumer,discovery,Forerunner Ventures,20,24,0.8333,7,12,2
open_book,discovery_consumer,discovery,Everybody Ventures,18,24,0.75,8,6,3
open_book,discovery_consumer,discovery,Andreessen Horowitz,18,24,0.75,7,3,4
open_book,discovery_consumer,discovery,CreatorLed,17,24,0.7083,7,0,5
open_book,discovery_dev_infra,discovery,Heavybit,24,24,1.0,8,24,1
open_book,discovery_dev_infra,discovery,Schema Ventures,24,24,1.0,8,0,2
open_book,discovery_dev_infra,discovery,Encoded Ventures,23,24,0.9583,8,0,3
open_book,discovery_dev_infra,discovery,Varion Ventures,23,24,0.9583,8,0,4
open_book,discovery_dev_infra,discovery,Grayscale,6,24,0.25,2,0,5
open_book,discovery_enterprise_ai,discovery,Salesforce Ventures,24,24,1.0,8,13,1
open_book,discovery_enterprise_ai,discovery,G2C Ventures,22,24,0.9167,8,8,2
open_book,discovery_enterprise_ai,discovery,Menlo Ventures,22,24,0.9167,8,3,3
open_book,discovery_enterprise_ai,discovery,Glasswing Ventures,19,24,0.7917,8,0,4
open_book,discovery_enterprise_ai,discovery,Swell VC,11,24,0.4583,6,0,5
open_book,discovery_eu_biotech,discovery,BioGeneration Ventures,24,24,1.0,8,19,1
open_book,discovery_eu_biotech,discovery,Biovision Ventures,24,24,1.0,8,3,2
open_book,discovery_eu_biotech,discovery,Kurma Partners,23,24,0.9583,8,2,3
open_book,discovery_eu_biotech,discovery,i&i Bio,18,24,0.75,7,0,4
open_book,discovery_eu_biotech,discovery,V-Bio Ventures,14,24,0.5833,5,0,5
open_book,discovery_eu_defence,discovery,Archangel,24,24,1.0,8,23,1
open_book,discovery_eu_defence,discovery,Keen Venture Partners,24,24,1.0,8,1,2
open_book,discovery_eu_defence,discovery,Gungnir Capital,22,24,0.9167,8,0,3
open_book,discovery_eu_defence,discovery,OMVP,22,24,0.9167,8,0,4
open_book,discovery_eu_defence,discovery,Helantic,21,24,0.875,8,0,5
open_book,discovery_eu_spinout,discovery,U2V,24,24,1.0,8,16,1
open_book,discovery_eu_spinout,discovery,Noctua Science Ventures,23,24,0.9583,8,4,2
open_book,discovery_eu_spinout,discovery,PSV Hafnium,22,24,0.9167,8,0,3
open_book,discovery_eu_spinout,discovery,Nordic Science Investments,21,24,0.875,7,1,4
open_book,discovery_eu_spinout,discovery,IP Lab Ventures,8,24,0.3333,5,3,5
open_book,discovery_fintech_infra,discovery,Caldo Ventures,24,24,1.0,8,24,1
open_book,discovery_fintech_infra,discovery,EJF Ventures,24,24,1.0,8,0,2
open_book,discovery_fintech_infra,discovery,Nyca Partners,24,24,1.0,8,0,3
open_book,discovery_fintech_infra,discovery,Restive,13,24,0.5417,6,0,4
open_book,discovery_fintech_infra,discovery,Milenny Ventures,9,24,0.375,6,0,5
open_book,discovery_preseed_technical,discovery,Valia Ventures,22,24,0.9167,8,0,1
open_book,discovery_preseed_technical,discovery,SOSV,21,24,0.875,8,0,2
open_book,discovery_preseed_technical,discovery,2048 Ventures,20,24,0.8333,8,7,3
open_book,discovery_preseed_technical,discovery,Menlo Ventures,18,24,0.75,7,12,4
open_book,discovery_preseed_technical,discovery,Ardent Venture Partners,12,24,0.5,7,0,5
